callsign,steps_in_tfr,tfr_entries,min_tfr_dist_nm,avg_tfr_dist_nm,tfr_warnings
AAL1026,875,1,-57.446,281.181,7
AAL1511,222,0,-50.083,377.084,0
AAL1613,418,0,-50.102,269.278,2
AAL165,397,0,-54.1,274.666,0
AAL1821,1012,1,-57.459,207.733,12
AAL2733,1106,0,-51.047,200.484,153
AAL714,1107,1,-77.387,295.921,0
AAL9601,0,0,182.121,459.472,0
AAL972,600,1,-57.438,308.153,0
AJT8313,465,0,-50.076,336.373,0
CMP298,0,0,566.859,566.883,0
CMP349,0,0,770.005,786.612,0
ENY3814,889,1,-43.733,166.321,181
FFT1418,0,0,108.733,355.443,0
FFT161,0,0,221.468,657.064,0
FFT3378,768,0,-54.07,260.246,3
FFT3470,0,0,82.248,288.831,0
N453QS,474,0,-50.075,323.284,0
NAC802,371,0,-45.784,389.333,0
NAC811,670,1,-47.934,145.077,55
NKS1155,177,1,-26.004,259.819,58
NKS1171,515,0,-26.204,189.948,110
NKS1210,617,1,-57.45,236.681,0
NKS1846,1549,0,-50.787,177.266,192
NKS1847,780,1,-41.818,180.066,169
NKS1904,965,1,-41.111,161.311,164
NKS2012,551,0,-22.561,248.159,138
NKS210,465,0,-25.546,222.899,127
NKS271,1447,0,-51.117,159.66,184
NKS272,519,1,-26.207,209.506,21
NKS2801,1025,1,-23.016,207.913,107
NKS3010,790,1,-23.03,185.5,72
NKS939,1516,0,-50.625,172.573,175
NKS956,601,0,-26.175,213.065,118
SHH3006,677,0,-50.083,325.795,5
TXG403,401,0,-50.085,356.362,0
UAL1020,0,0,385.108,567.363,0
UAL1058,0,0,188.281,281.88,0
UAL1059,0,0,218.279,583.516,0
UAL1457,1294,1,-40.147,209.468,162
UAL1739,0,0,115.661,316.481,0
UAL1848,1047,1,-42.235,175.703,194
UAL1927,514,0,-41.356,204.051,1
UAL1956,502,0,-23.629,186.111,39
UAL2657,806,1,-25.331,154.15,135
UAL2662,0,0,82.242,230.93,0
UAL496T,0,0,82.25,304.675,0
UAL723,770,1,-25.345,202.962,59
VIV560,0,0,680.433,735.725,0
XLS500,0,0,199.319,561.006,0
