step,callsign_a,callsign_b,h_sep_nm,v_sep_ft,alt_a_ft,alt_b_ft,lat_a,lon_a,lat_b,lon_b,duration_steps,resolved_step,severity
0,FFT3470,UAL1457,2.7,274.3,1257.3,1013.46,29.938247680664062,-95.23988611557904,29.909533484507413,-95.2704754997702,7,7,MODERATE
0,NKS687,UAL1457,2.9047,76.2,1013.46,1013.46,29.90669379800053,-95.26654411764709,29.909533484507413,-95.2704754997702,120,120,CRITICAL
0,NKS2801,NKS687,2.9013,304.8,1021.08,1013.46,29.895675659179688,-95.2488767183744,29.90669379800053,-95.26654411764709,182,182,HIGH
0,ENY4071,UAL1795,2.9706,167.6,1028.7,1028.7,25.83858683957892,-80.158943763146,25.81074860136388,-80.18143563900355,25,25,MODERATE
0,NKS797,UAL2662,2.9529,304.8,1112.52,1173.48,29.938023454051905,-95.25860595703124,29.9146728515625,-95.2752147001379,10,10,HIGH
0,ENY3814,UAL2657,2.9302,289.6,1043.94,1028.7,29.91156005859375,-95.27225269990812,29.9154052734375,-95.27386833639709,17,17,CRITICAL
0,NKS1564,UAL1795,2.9332,304.8,1021.08,1028.7,25.81842041015625,-80.16962687174475,25.81074860136388,-80.18143563900355,96,96,CRITICAL
0,AAL1465,NKS687,2.9343,22.9,1021.08,1013.46,29.90716552734375,-95.22891117976263,29.90669379800053,-95.26654411764709,266,266,HIGH
0,NAC810,TXG403,2.9962,30.5,1021.08,1013.46,25.777463751324152,-80.21455009028597,25.761310124801376,-80.16671810510024,42,42,MODERATE
0,UAL1848,UAL413,2.6608,358.1,1424.94,1074.42,29.897781372070312,-95.20730825570912,29.900894165039062,-95.25917640099158,3,3,MODERATE
0,SHH3006,TXG403,2.8017,83.8,1028.7,1013.46,25.76852572166313,-80.18703244767096,25.761310124801376,-80.16671810510024,316,316,HIGH
0,FFT3470,NKS272,2.8867,243.8,1257.3,1074.42,29.938247680664062,-95.23988611557904,29.897003173828125,-95.2521514892578,7,7,MODERATE
0,NKS687,UAL2245,2.0778,221.0,1013.46,1059.18,29.90669379800053,-95.26654411764709,29.905483439817267,-95.26552088120404,11,11,CRITICAL
0,NKS1904,UAL2657,1.7063,297.2,1097.28,1028.7,29.9381103515625,-95.24871826171876,29.9154052734375,-95.27386833639709,7,7,HIGH
0,NKS1708,UAL2662,2.8464,228.6,1021.08,1173.48,29.9186577231197,-95.27206420898438,29.9146728515625,-95.2752147001379,29,29,CRITICAL
0,NKS1708,NKS797,2.8624,586.7,1021.08,1112.52,29.9186577231197,-95.27206420898438,29.938023454051905,-95.25860595703124,113,113,HIGH
0,ENY3814,UAL2662,2.9659,243.8,1043.94,1173.48,29.91156005859375,-95.27225269990812,29.9146728515625,-95.2752147001379,24,24,CRITICAL
