callsign,steps_in_tfr,tfr_entries,min_tfr_dist_nm,avg_tfr_dist_nm,tfr_warnings
AAL1014,0,0,6.483,64.481,21
AAL1026,0,0,6.58,53.713,27
AAL1028,0,0,765.605,782.66,0
AAL1465,0,0,666.488,666.492,0
AAL1511,2875,0,-45.043,-45.042,0
AAL1613,801,0,-45.006,-45.005,0
AAL165,2481,0,-46.087,-46.039,0
AAL1821,0,0,1.167,68.982,23
AAL1856,5583,0,-48.234,-47.263,0
AAL217R,0,0,5.808,284.189,18
AAL2541,4787,0,-45.859,-45.807,0
AAL2733,3023,0,-47.539,-47.537,0
AAL324,0,0,18.84,54.515,0
AAL368,3260,0,-45.714,-45.713,0
AAL510,0,0,1.981,237.996,21
AAL714,1971,0,-44.953,-44.897,0
AAL9601,0,0,169.735,287.906,0
AAL967,2428,0,-49.443,-49.385,0
AAL972,0,0,2.931,54.128,25
AJT8313,1426,0,-43.035,-41.709,0
CMP298,0,0,566.924,567.29,0
CMP349,0,0,759.187,767.675,0
ENY3689,6204,0,-39.984,-34.477,0
ENY3814,0,0,673.77,673.77,0
ENY4071,2864,0,-43.789,-43.78,0
FFT1418,0,0,671.559,671.56,0
FFT161,0,0,215.267,623.306,0
FFT1737,0,0,108.044,671.433,0
FFT2284,1352,0,-44.76,-44.759,0
FFT3378,3743,0,-44.538,-44.538,0
FFT3470,0,0,123.846,544.632,0
FFT4426,0,0,670.413,670.416,0
FFT4879,0,0,158.98,195.159,0
GXA401,0,0,1.458,63.94,31
N453QS,3107,0,-42.774,-41.968,0
NAC802,4329,0,-47.575,-47.533,0
NAC810,3464,0,-43.372,-42.312,0
NAC811,0,0,8.613,50.521,12
NKS1155,0,0,674.118,674.118,0
NKS1171,63,0,-29.997,629.421,6
NKS1210,0,0,7.129,149.601,16
NKS1336,0,0,668.837,668.843,0
NKS1562,0,0,107.408,633.27,0
NKS1564,5079,0,-40.99,-38.045,0
NKS1576,0,0,110.704,664.666,0
NKS1708,0,0,670.009,670.012,0
NKS1846,4306,0,-41.018,-38.134,0
NKS1847,0,0,669.123,669.128,0
NKS1904,0,0,669.257,669.261,0
NKS2012,80,0,-22.755,614.001,4
NKS210,20,0,-25.525,643.341,8
NKS271,5080,0,-45.378,-45.335,0
NKS272,0,0,669.201,669.204,0
NKS2801,0,0,667.84,667.843,0
NKS3010,0,0,669.093,669.097,0
NKS687,0,0,667.29,669.317,0
NKS797,0,0,671.446,671.448,0
NKS939,4396,0,-40.36,-37.845,0
NKS956,44,0,-33.512,664.16,5
SHH3006,3620,0,-45.524,-45.524,0
SWA4490,0,0,670.417,670.419,0
SWA575,0,0,110.879,227.648,0
TXG403,1556,0,-49.472,-49.299,0
UAL1020,0,0,603.229,611.641,0
UAL1058,0,0,211.66,579.421,0
UAL1059,0,0,202.713,477.132,0
UAL1167,0,0,667.407,667.411,0
UAL1457,0,0,668.566,668.571,0
UAL1563,4942,0,-40.795,-40.795,0
UAL1630,0,0,119.932,119.932,0
UAL1739,0,0,116.123,116.125,0
UAL1795,3920,0,-41.416,-37.844,0
UAL1848,0,0,667.296,667.299,0
UAL1927,4960,0,-41.356,-38.249,0
UAL1956,92,0,-24.262,642.012,8
UAL2105,0,0,678.641,678.642,0
UAL2162,38,0,-33.593,627.801,6
UAL2245,0,0,667.111,667.117,0
UAL2247,0,0,119.94,119.94,0
UAL2261,4692,0,-24.11,-24.108,0
UAL2620,0,0,548.363,600.595,0
UAL2657,0,0,669.933,669.936,0
UAL2662,0,0,670.06,670.064,0
UAL413,0,0,669.599,669.602,0
UAL496T,0,0,671.458,671.473,0
UAL584,0,0,118.92,118.92,0
UAL723,0,0,674.797,674.799,0
UAL759,0,0,670.535,670.536,0
VIV560,0,0,678.73,718.462,0
XLS500,0,0,206.699,534.878,0
