callsign,steps_in_tfr,tfr_entries,min_tfr_dist_nm,avg_tfr_dist_nm,tfr_warnings
AAL1014,2,1,-1.996,65.781,34
AAL1026,0,0,2.222,52.247,26
AAL1028,0,0,765.39,781.737,0
AAL1465,0,0,10.067,267.241,0
AAL1511,123,0,-53.44,473.24,16
AAL1613,175,0,-62.088,195.908,14
AAL165,64,0,-57.221,427.756,115
AAL1821,0,0,5.966,66.534,33
AAL1856,61,0,-44.863,31.284,11
AAL217R,0,0,9.01,281.892,2
AAL2541,90,0,-55.739,646.164,5
AAL2733,664,8,-64.75,268.575,43
AAL324,0,0,10.004,190.133,0
AAL368,338,2,-63.168,329.471,222
AAL510,0,0,6.177,218.296,20
AAL714,223,1,-81.228,478.373,50
AAL9601,0,0,174.51,287.819,0
AAL967,163,0,-55.196,398.355,12
AAL972,0,0,2.418,53.643,28
AJT8313,140,0,-51.638,369.309,78
CMP298,0,0,566.924,567.29,0
CMP349,0,0,759.187,767.675,0
ENY3689,90,0,-62.951,557.527,4
ENY3814,0,0,669.125,669.129,0
ENY4071,79,0,-40.016,615.025,5
FFT1418,0,0,101.752,140.995,0
FFT161,0,0,204.809,314.65,0
FFT1737,0,0,93.08,410.128,0
FFT2284,104,0,-67.401,431.341,9
FFT3378,101,0,-59.813,621.695,8
FFT3470,0,0,123.282,238.752,0
FFT4426,0,0,99.346,147.472,0
FFT4879,0,0,160.921,192.089,0
GXA401,0,0,6.512,63.744,21
N453QS,110,0,-54.082,568.963,11
NAC802,179,0,-54.885,590.372,191
NAC810,215,0,-51.793,554.029,93
NAC811,0,0,7.756,47.88,11
NKS1155,0,0,10.063,200.69,0
NKS1171,1046,11,-62.789,253.57,65
NKS1210,0,0,5.386,156.775,6
NKS1336,0,0,211.267,260.516,0
NKS1562,0,0,93.495,357.798,0
NKS1564,301,5,-44.033,391.047,31
NKS1576,0,0,92.029,364.34,0
NKS1708,0,0,10.01,102.715,0
NKS1846,117,0,-66.648,644.974,6
NKS1847,0,0,10.011,112.311,0
NKS1904,0,0,10.183,99.566,0
NKS2012,375,4,-43.633,323.788,40
NKS210,1144,14,-42.542,284.175,70
NKS271,351,4,-56.163,418.072,28
NKS272,0,0,11.124,100.528,0
NKS2801,0,0,10.137,265.375,0
NKS3010,0,0,11.817,103.533,0
NKS687,0,0,10.09,285.562,0
NKS797,0,0,15.197,215.83,0
NKS939,117,0,-47.531,647.608,5
NKS956,995,11,-59.55,365.489,54
SHH3006,469,3,-55.826,277.834,142
SWA4490,0,0,119.122,176.201,0
SWA575,0,0,117.675,646.716,0
TXG403,171,0,-55.442,398.966,11
UAL1020,0,0,605.144,612.277,0
UAL1058,0,0,211.66,578.955,0
UAL1059,0,0,194.283,486.832,0
UAL1167,0,0,200.483,227.897,0
UAL1457,0,0,10.142,94.157,0
UAL1563,104,0,-41.308,626.385,4
UAL1630,0,0,99.709,327.584,0
UAL1739,0,0,100.874,338.362,0
UAL1795,133,0,-46.789,602.947,4
UAL1848,0,0,12.117,115.84,0
UAL1927,138,0,-65.771,618.026,4
UAL1956,70,0,-25.626,642.618,5
UAL2105,0,0,7.488,68.399,9
UAL2162,952,12,-58.666,262.855,70
UAL2245,0,0,131.146,561.806,0
UAL2247,0,0,119.996,368.264,0
UAL2261,1068,12,-74.574,248.223,63
UAL2620,0,0,548.363,600.595,0
UAL2657,0,0,10.019,122.901,0
UAL2662,0,0,118.332,181.546,0
UAL413,0,0,98.055,267.349,0
UAL496T,0,0,102.569,317.458,0
UAL584,0,0,118.949,477.266,0
UAL723,0,0,10.124,274.663,0
UAL759,0,0,9.429,269.892,2
VIV560,0,0,678.315,725.652,0
XLS500,0,0,202.539,448.342,0
