index,Active Flights,Total Conflicts,Flights Airborne,Avg Altitude (ft),Avg Speed (kts),In TFR,TFR Warnings,Mode
0,118,0,118,1308.315254237288,159.76605220777495,45,0,baseline
1,118,637,118,1331.8855932203394,159.26320633162044,45,0,baseline
2,118,632,118,1352.6145762711867,158.81365430399168,45,0,baseline
3,118,624,118,1370.9542372881356,158.4000299390284,45,0,baseline
4,118,604,118,1390.4562711864407,162.35864940253114,45,0,baseline
5,117,592,117,1402.9917948717953,165.035782453298,45,0,baseline
6,117,583,117,1420.7066666666667,164.95759015030484,45,0,baseline
7,117,562,117,1439.007692307692,164.53744905923574,45,0,baseline
8,117,539,117,1455.8758974358977,164.4778371791172,45,0,baseline
9,117,530,117,1469.9435897435897,164.12506590616198,45,0,baseline
10,117,515,117,1486.0302564102567,163.89813068433176,45,0,baseline
11,117,498,117,1506.6758974358975,163.77915287778129,45,0,baseline
12,117,477,117,1529.9266666666665,157.70093445838836,45,0,baseline
13,117,463,117,1548.8789743589743,157.18989295064242,45,0,baseline
14,117,442,117,1571.9343589743594,160.0408375376336,45,0,baseline
15,117,436,117,1593.2964102564106,159.92238433861223,45,0,baseline
16,117,423,117,1612.834871794872,159.62902020564792,45,0,baseline
17,117,415,117,1628.0748717948716,162.49480612794432,45,0,baseline
18,117,410,117,1650.609230769231,165.3947787878888,45,0,baseline
19,117,401,117,1666.3051282051283,165.13523682061194,45,0,baseline
20,117,398,117,1682.3266666666668,164.89193522529854,45,0,baseline
21,117,386,117,1699.97641025641,164.68307517173625,45,0,baseline
22,117,386,117,1716.7143589743591,167.39239351149524,45,0,baseline
23,117,382,117,1734.2989743589742,167.16434224345778,45,0,baseline
24,117,380,117,1748.496923076923,171.4391797006005,45,0,baseline
25,117,373,117,1763.9974358974362,175.82009346190958,45,0,baseline
26,117,363,117,1785.815384615385,175.59694105081408,45,0,baseline
27,117,361,117,1805.549230769231,175.1469058015003,45,0,baseline
28,117,354,117,1864.8158974358978,177.8810656788155,45,0,baseline
29,117,353,117,1885.0056410256411,177.79256681701787,45,0,baseline
30,117,352,117,1908.9076923076925,175.9403926965534,45,0,baseline
31,117,343,117,1930.4000000000003,175.8748364064346,45,0,baseline
32,117,338,117,1949.6128205128207,177.17478221620635,45,0,baseline
33,117,335,117,1987.777948717949,178.51089155213015,45,0,baseline
34,117,328,117,2076.808205128205,178.3380223895941,45,0,baseline
35,117,324,117,2099.4076923076923,176.57292141070798,45,0,baseline
36,117,310,117,2131.3205128205127,179.1239630198573,45,0,baseline
37,117,301,117,2199.3794871794876,178.86167334664881,45,0,baseline
38,117,299,117,2219.5041025641026,181.42538184830633,45,0,baseline
39,117,293,117,2249.7235897435894,181.10253510509284,45,0,baseline
40,117,281,117,2269.32717948718,180.8745359290029,45,0,baseline
41,117,276,117,2304.431282051282,180.51226987790855,45,0,baseline
42,117,266,117,2382.389743589743,181.916653214336,45,0,baseline
43,117,264,117,2399.9743589743593,183.06741983437905,45,0,baseline
44,117,261,117,2421.141025641026,182.94846796720697,45,0,baseline
45,117,258,117,2438.3348717948716,187.47493330969513,45,0,baseline
46,117,256,117,2464.3861538461533,188.81299195261906,45,0,baseline
47,117,256,117,2504.8958974358975,188.57090702371684,45,0,baseline
48,117,250,117,2524.173846153847,188.36988260979837,45,0,baseline
49,117,244,117,2580.9005128205126,188.2583706185995,45,0,baseline
50,117,248,117,2620.498461538461,188.0644826612349,45,0,baseline
51,117,243,117,2637.4969230769225,187.89576735425325,45,0,baseline
52,117,240,117,2652.47641025641,187.7841185049544,45,0,baseline
53,117,235,117,2723.205641025641,187.53428070161104,45,0,baseline
54,117,232,117,2774.852307692308,187.3572129703018,45,0,baseline
55,117,233,117,2788.9199999999996,187.1794672915365,45,0,baseline
56,117,232,117,2808.6538461538457,186.96775426068453,45,0,baseline
57,117,230,117,2827.8015384615373,189.86257655930703,45,0,baseline
58,117,226,117,2860.4958974358983,189.3898314132664,45,0,baseline
59,117,226,117,2878.1456410256415,192.24121348264356,45,0,baseline
60,117,222,117,2891.8225641025642,192.0613507302904,45,0,baseline
61,117,223,117,2912.924102564102,191.90457436153565,45,0,baseline
62,117,220,117,2927.382564102564,191.6513623058906,45,0,baseline
63,117,220,117,2940.277948717948,194.5835614018651,45,0,baseline
64,117,219,117,2952.9779487179485,194.319555852748,45,0,baseline
65,117,218,117,2969.0646153846155,194.03003780070466,45,0,baseline
66,117,215,117,2985.737435897436,193.82579795758255,45,0,baseline
67,117,216,117,3003.322051282051,196.73821099268002,45,0,baseline
68,117,211,117,3017.650256410256,195.19503818260785,45,0,baseline
69,117,212,117,3031.522564102564,193.31857347293644,45,0,baseline
70,117,209,117,3046.3066666666673,193.0798757018186,45,0,baseline
71,117,208,117,3064.998461538461,192.78530714672695,45,0,baseline
72,117,206,117,3077.4379487179485,192.60197857316322,45,0,baseline
73,117,204,117,3090.7241025641024,192.39549603983386,45,0,baseline
74,117,204,117,3107.462051282051,192.188681241945,45,0,baseline
75,117,204,117,3121.7251282051284,192.00633765849707,45,0,baseline
76,117,206,117,3134.946153846153,194.5480608817579,45,0,baseline
77,117,202,117,3148.557948717949,194.25311161948085,45,0,baseline
78,117,201,117,3220.003589743589,194.0864940259489,45,0,baseline
79,117,200,117,3245.40358974359,193.75657729234842,45,0,baseline
80,117,196,117,3262.4020512820516,193.52173006422169,45,0,baseline
81,117,188,117,3333.3266666666664,193.19529669287894,45,0,baseline
82,117,189,117,3351.3671794871793,192.93564127156213,45,0,baseline
83,117,187,117,3365.4999999999995,192.41258114607786,45,0,baseline
84,117,184,117,3388.425128205129,192.54222403765715,45,0,baseline
85,117,182,117,3407.96358974359,192.19362257648106,45,0,baseline
86,117,182,117,3467.425641025641,191.89887929354555,45,0,baseline
87,117,184,117,3477.715897435897,191.52824822572032,45,0,baseline
88,117,181,117,3489.7646153846144,192.89182323608563,45,0,baseline
89,117,184,117,3500.185128205128,193.9968698949322,45,0,baseline
90,117,182,117,3512.9502564102563,193.66486159283338,45,0,baseline
91,117,183,117,3524.80358974359,193.45616189879078,45,0,baseline
92,117,184,117,3535.8753846153845,193.10972069564158,45,0,baseline
93,117,182,117,3548.184615384616,192.78730230347605,45,0,baseline
94,117,180,117,3559.4517948717953,192.57603442720185,45,0,baseline
95,117,179,117,3571.95641025641,192.25750770071392,45,0,baseline
96,117,177,117,3582.5723076923077,191.95261746822612,45,0,baseline
97,117,175,117,3594.6861538461535,191.78072641384023,45,0,baseline
98,117,176,117,3605.7579487179487,191.51488439276636,45,0,baseline
99,117,172,117,3616.894871794872,194.339027887667,45,0,baseline
100,117,171,117,3627.706153846154,194.09618027656578,45,0,baseline
101,117,168,117,3640.7317948717955,193.86445525664783,45,0,baseline
102,117,166,117,3653.3666666666663,193.64616649015943,45,0,baseline
103,117,166,117,3667.2389743589733,193.40480518005592,45,0,baseline
104,117,162,117,3683.71641025641,193.2313622068362,45,0,baseline
