callsign,steps_in_tfr,tfr_entries,min_tfr_dist_nm,avg_tfr_dist_nm,tfr_warnings
AAL1014,142,1,-57.543,411.726,0
AAL1026,875,1,-57.446,281.181,7
AAL1028,6012,4,-59.011,339.433,62
AAL1341,4374,4,-57.442,281.414,27
AAL1347,1780,2,-43.728,265.358,242
AAL1465,1121,1,-37.733,210.085,185
AAL1511,222,0,-50.083,377.084,0
AAL1613,418,0,-50.102,269.278,2
AAL165,397,0,-54.1,274.666,0
AAL1821,1012,1,-57.459,207.733,12
AAL1856,1203,1,-57.442,281.511,19
AAL2171,1155,2,-57.456,327.544,0
AAL217R,509,1,-57.411,479.046,0
AAL2217,2804,3,-77.166,402.113,66
AAL2230,1509,0,-50.857,201.366,190
AAL2541,1627,0,-51.06,185.223,190
AAL2733,1106,0,-51.047,200.484,153
AAL3149,507,1,-53.785,322.19,0
AAL324,1999,2,-43.744,198.822,334
AAL368,442,0,-50.075,351.771,0
AAL510,1100,1,-59.016,286.278,0
AAL714,1107,1,-77.387,295.921,0
AAL9601,0,0,182.121,459.472,0
AAL967,1210,0,-50.063,145.881,49
AAL972,600,1,-57.438,308.153,0
AAL987,600,1,-53.874,319.54,0
AJT8313,465,0,-50.076,336.373,0
AJT8541,327,0,-50.057,303.852,0
AJT862,278,1,-57.288,350.927,0
CMP100,0,0,1752.871,1973.286,0
CMP298,0,0,566.859,566.883,0
CMP334,444,0,-57.558,-50.562,0
CMP349,0,0,770.005,786.612,0
ENY3689,610,0,-39.982,220.565,102
ENY3814,889,1,-43.733,166.321,181
ENY3954,1426,0,-50.863,195.179,113
ENY4071,721,0,-100.359,532.041,0
FFT1418,0,0,108.733,355.443,0
FFT161,0,0,221.468,657.064,0
FFT1737,0,0,109.845,320.347,0
FFT2284,699,0,-54.052,167.423,10
FFT3378,768,0,-54.07,260.246,3
FFT3470,0,0,82.248,288.831,0
FFT4426,0,0,82.659,292.982,0
FFT4879,0,0,172.521,377.648,0
GXA401,613,1,-57.433,298.712,0
N453QS,474,0,-50.075,323.284,0
NAC802,371,0,-45.784,389.333,0
NAC810,344,0,-45.52,372.525,0
NAC811,670,1,-47.934,145.077,55
NKS1155,177,1,-26.004,259.819,58
NKS1171,515,0,-26.204,189.948,110
NKS1210,617,1,-57.45,236.681,0
NKS1336,0,0,217.819,353.116,0
NKS1498,847,1,-23.027,224.312,100
NKS1562,0,0,102.313,274.041,0
NKS1564,1173,0,-43.786,205.126,146
NKS1576,0,0,112.938,326.53,0
NKS1708,688,1,-37.346,250.445,131
NKS1846,1549,0,-50.787,177.266,192
NKS1847,780,1,-41.818,180.066,169
NKS1904,965,1,-41.111,161.311,164
NKS2012,551,0,-22.561,248.159,138
NKS210,465,0,-25.546,222.899,127
NKS257,587,0,-26.19,207.998,125
NKS271,1447,0,-51.117,159.66,184
NKS272,519,1,-26.207,209.506,21
NKS2801,1025,1,-23.016,207.913,107
NKS3010,790,1,-23.03,185.5,72
NKS352,644,0,-23.246,197.642,115
NKS687,539,1,-25.996,232.374,5
NKS693,617,0,-22.34,237.219,107
NKS797,956,1,-24.02,184.628,111
NKS939,1516,0,-50.625,172.573,175
NKS956,601,0,-26.175,213.065,118
PXG210,978,1,-22.675,249.638,259
SHH3006,677,0,-50.083,325.795,5
SHH906,864,1,-54.032,347.97,0
SWA4490,0,0,127.06,321.833,0
SWA575,0,0,92.921,274.422,0
TXG403,401,0,-50.085,356.362,0
UAL1019,0,0,184.095,391.649,0
UAL1020,0,0,385.108,567.363,0
UAL1056,0,0,177.745,234.107,0
UAL1058,0,0,188.281,281.88,0
UAL1059,0,0,218.279,583.516,0
UAL1114,0,0,642.308,662.899,0
UAL1167,0,0,207.489,362.314,0
UAL1457,1294,1,-40.147,209.468,162
UAL1563,578,0,-40.496,208.923,86
UAL1630,0,0,89.65,279.374,0
UAL1692,0,0,115.67,313.585,0
UAL1739,0,0,115.661,316.481,0
UAL1795,1597,0,-50.846,163.057,162
UAL1809,570,1,-42.321,491.728,72
UAL1848,1047,1,-42.235,175.703,194
UAL1927,514,0,-41.356,204.051,1
UAL1956,502,0,-23.629,186.111,39
UAL2105,1073,2,-39.068,238.33,201
UAL2162,626,0,-25.792,194.249,128
UAL2215,1326,0,-41.746,149.328,183
UAL2245,0,0,134.139,340.422,0
UAL2247,0,0,89.631,254.644,0
UAL2261,245,0,-22.43,235.167,74
UAL2311,1725,0,-50.81,177.431,199
UAL2620,0,0,570.659,609.015,0
UAL2657,806,1,-25.331,154.15,135
UAL2662,0,0,82.242,230.93,0
UAL413,0,0,82.692,247.323,0
UAL496,0,0,82.246,261.953,0
UAL496T,0,0,82.25,304.675,0
UAL584,0,0,89.671,251.246,0
UAL723,770,1,-25.345,202.962,59
UAL759,1044,1,-44.077,210.865,183
UAL774,0,0,89.639,275.247,0
UPS6335,1184,1,-57.441,230.434,32
VIV560,0,0,680.433,735.725,0
XLS500,0,0,199.319,561.006,0
