callsign,steps_in_tfr,tfr_entries,min_tfr_dist_nm,avg_tfr_dist_nm,tfr_warnings
AAL1014,0,0,734.901,737.491,0
AAL1026,0,0,2.025,63.866,16
AAL1028,0,0,765.605,782.66,0
AAL1341,0,0,1.182,57.262,43
AAL1347,0,0,16.298,321.577,0
AAL1465,0,0,666.488,666.492,0
AAL1511,2875,0,-45.043,-45.042,0
AAL1613,801,0,-45.006,-45.005,0
AAL165,2481,0,-46.087,-46.047,0
AAL1821,2,1,-1.065,71.963,28
AAL1856,5583,0,-45.694,-45.693,0
AAL2171,8660,0,-44.06,-43.838,0
AAL217R,0,0,7.904,284.16,9
AAL2217,12141,0,-45.898,-45.892,0
AAL2230,4992,0,-40.843,-37.821,0
AAL2541,4787,0,-45.861,-45.818,0
AAL2733,3023,0,-47.539,-47.537,0
AAL3149,0,0,6.793,100.527,17
AAL324,0,0,676.951,676.952,0
AAL368,3260,0,-45.714,-45.713,0
AAL510,0,0,5.968,239.691,18
AAL714,1971,0,-44.953,-44.907,0
AAL9601,0,0,169.735,287.906,0
AAL967,2428,0,-49.443,-49.384,0
AAL972,0,0,4.167,59.054,28
AAL987,0,0,564.159,566.203,0
AJT8313,1426,0,-43.035,-42.405,0
AJT8541,2738,0,-43.321,-43.2,0
AJT862,0,0,6.575,61.582,14
CMP100,0,0,1744.307,1765.909,0
CMP298,0,0,566.924,567.152,0
CMP334,150,0,-58.454,15.668,138
CMP349,0,0,759.187,767.675,0
ENY3689,6204,0,-44.92,-44.916,0
ENY3814,0,0,673.77,673.77,0
ENY3954,3608,0,-41.164,-33.672,0
ENY4071,2864,0,-39.894,-39.48,0
FFT1418,0,0,671.559,671.56,0
FFT161,0,0,215.267,628.612,0
FFT1737,0,0,108.044,672.626,0
FFT2284,1352,0,-45.593,-45.506,0
FFT3378,3743,0,-45.341,-45.311,0
FFT3470,0,0,122.941,545.816,0
FFT4426,0,0,670.413,670.416,0
FFT4879,0,0,162.082,195.603,0
GXA401,0,0,7.412,65.137,17
N453QS,3107,0,-42.774,-42.305,0
NAC802,4329,0,-47.575,-47.533,0
NAC810,3464,0,-43.372,-42.39,0
NAC811,0,0,6.666,49.912,11
NKS1155,0,0,674.118,674.118,0
NKS1171,63,0,-29.997,627.596,6
NKS1210,0,0,7.894,140.889,3
NKS1336,0,0,668.837,668.843,0
NKS1498,0,0,669.3,669.303,0
NKS1562,0,0,107.408,637.047,0
NKS1564,5079,0,-40.99,-39.055,0
NKS1576,0,0,112.84,663.575,0
NKS1708,0,0,670.009,670.012,0
NKS1846,4306,0,-41.018,-37.446,0
NKS1847,0,0,669.123,669.128,0
NKS1904,0,0,669.257,669.261,0
NKS2012,84,0,-22.755,652.917,6
NKS210,20,0,-25.525,642.95,8
NKS257,58,0,-35.164,665.016,6
NKS271,5080,0,-45.382,-45.347,0
NKS272,0,0,665.697,665.793,0
NKS2801,0,0,667.84,667.843,0
NKS3010,0,0,669.093,669.097,0
NKS352,4974,0,-26.402,-26.398,0
NKS687,0,0,667.29,669.317,0
NKS693,5629,0,-24.647,-24.644,0
NKS797,0,0,671.446,671.448,0
NKS939,4396,0,-41.902,-41.9,0
NKS956,57,0,-42.557,665.535,7
PXG210,0,0,17.001,125.378,0
SHH3006,3620,0,-47.976,-47.973,0
SHH906,6249,0,-45.384,-45.383,0
SWA4490,0,0,670.417,670.419,0
SWA575,0,0,112.114,134.768,0
TXG403,1556,0,-47.754,-47.668,0
UAL1019,0,0,212.684,212.687,0
UAL1020,0,0,604.842,611.929,0
UAL1056,0,0,205.285,464.585,0
UAL1058,0,0,213.262,213.263,0
UAL1059,0,0,200.165,518.915,0
UAL1114,0,0,668.336,668.506,0
UAL1167,0,0,358.992,657.161,0
UAL1457,0,0,669.81,669.813,0
UAL1563,4942,0,-40.795,-40.795,0
UAL1630,0,0,119.932,119.932,0
UAL1692,0,0,113.927,114.147,0
UAL1739,0,0,113.936,114.237,0
UAL1795,3920,0,-41.416,-38.697,0
UAL1809,0,0,10.082,94.124,0
UAL1848,0,0,667.296,667.299,0
UAL1927,4960,0,-41.356,-39.139,0
UAL1956,3713,0,-27.656,-27.648,0
UAL2105,0,0,678.641,678.642,0
UAL2162,35,0,-31.492,629.907,6
UAL2215,4208,0,-41.746,-38.384,0
UAL2245,0,0,667.111,667.117,0
UAL2247,0,0,119.94,119.94,0
UAL2261,4692,0,-24.11,-24.108,0
UAL2311,114,0,-41.751,620.149,5
UAL2620,0,0,548.363,600.595,0
UAL2657,0,0,669.933,669.936,0
UAL2662,0,0,670.06,670.064,0
UAL413,0,0,669.599,669.602,0
UAL496,0,0,666.854,669.329,0
UAL496T,0,0,676.459,676.464,0
UAL584,0,0,118.92,118.92,0
UAL723,0,0,676.193,676.195,0
UAL759,0,0,669.391,669.394,0
UAL774,0,0,106.989,515.607,0
UPS6335,0,0,1.849,63.078,14
VIV560,0,0,679.127,718.519,0
XLS500,0,0,206.699,535.044,0
