index,Active Flights,Total Conflicts,Flights Airborne,Avg Altitude (ft),Avg Speed (kts),In TFR,TFR Warnings,Mode
0,118,0,118,1308.315254237288,159.76605220777495,45,0,pomdp
1,118,0,118,1334.6027708924025,159.02049392811654,45,0,pomdp
2,118,0,118,1368.5872578108422,160.21315366917747,45,0,pomdp
3,118,0,118,1400.7792327503532,162.5839528996978,45,0,pomdp
4,118,0,118,1440.2401927331393,163.12418113035852,45,0,pomdp
5,117,0,117,1482.7396426378612,169.17999866958283,45,0,pomdp
6,117,0,117,1542.2415878760833,165.28719789526565,45,0,pomdp
7,117,0,117,1607.786773372772,166.18562647129824,45,0,pomdp
8,117,0,117,1649.6017399826508,167.8653691398538,45,0,pomdp
9,117,0,117,1713.0403906351585,164.86912540567872,45,0,pomdp
10,117,0,117,1792.7315855517359,164.28865360006418,45,0,pomdp
11,117,0,117,1868.213776308323,163.89867208690876,45,0,pomdp
12,117,0,117,1952.8291609237076,157.70093445838836,45,0,pomdp
13,117,0,117,2037.4445455390924,157.18989295064242,45,0,pomdp
14,117,0,117,2109.8084549125524,158.26771620754653,45,0,pomdp
15,117,0,117,2189.656535694087,161.63042581708356,45,0,pomdp
16,117,0,117,2272.56251860007,160.00849177569836,45,0,pomdp
17,117,0,117,2351.058236189149,162.7311179526487,45,0,pomdp
18,117,0,117,2429.7275174165384,165.47964986024957,45,0,pomdp
19,117,0,117,2510.92409861312,165.2374028528731,45,0,pomdp
20,117,0,117,2594.3026293554117,165.66332618033164,45,0,pomdp
21,117,0,117,2664.9940165382627,164.66341086583574,45,0,pomdp
22,117,0,117,2741.9170934613394,167.19889200637485,44,1,pomdp
23,117,0,117,2818.8401703844165,166.8721695979574,44,1,pomdp
24,117,0,117,2896.077173392006,171.5407194829331,44,1,pomdp
25,117,0,117,2974.6645004612596,175.5127580035656,44,1,pomdp
26,117,0,117,3017.323480052167,173.43175724609173,44,1,pomdp
27,117,0,117,3068.6369400966364,174.5239412468483,44,1,pomdp
28,117,0,117,3144.7053161650124,177.21993484133577,44,0,pomdp
29,117,0,117,3220.7736922333884,177.02081093860852,44,0,pomdp
30,117,0,117,3296.8420683017644,175.05758841221632,43,1,pomdp
31,117,0,117,3368.6369400966364,174.89110695797302,43,1,pomdp
32,117,0,117,3436.158307618004,176.0773872673016,42,2,pomdp
33,117,0,117,3506.729742057089,177.82137972894296,42,2,pomdp
34,117,0,117,3576.815212142559,177.04879199823353,42,2,pomdp
35,117,0,117,3648.7728381685083,175.46323777605582,42,2,pomdp
36,117,0,117,3724.8412142368848,177.85554339679314,42,2,pomdp
37,117,0,117,3795.781385177056,177.64050039968316,42,2,pomdp
38,117,0,117,3868.4309578266284,180.24928298454643,41,2,pomdp
39,117,0,117,3942.789932185603,179.97340147660617,41,2,pomdp
40,117,0,117,4019.7130091086797,179.5218380820821,41,2,pomdp
41,117,0,117,4097.4907868864575,180.75305283906243,41,2,pomdp
42,117,0,117,4171.849761245432,182.14245850535676,41,2,pomdp
43,117,0,117,4246.208735604407,183.27530407055687,41,2,pomdp
44,117,0,117,4319.71300910868,183.1403611082942,40,4,pomdp
45,117,0,117,4392.12690022175,187.44219745494664,40,3,pomdp
46,117,0,117,4460.502968597818,188.97290290352507,39,4,pomdp
47,117,0,117,4528.879036973886,188.7148268795323,39,4,pomdp
48,117,0,117,4600.673908768757,188.49784431695372,39,4,pomdp
49,117,0,117,4669.049977144825,188.37033711236046,39,3,pomdp
50,117,0,117,4739.135447230294,188.1604539416014,39,3,pomdp
51,117,0,117,4810.930319025165,187.97576385976907,39,2,pomdp
52,117,0,117,4883.579891674738,187.848115709367,39,2,pomdp
53,117,0,117,4957.0841651790115,187.5823028598723,39,1,pomdp
54,117,0,117,5028.879036973884,187.38922774247598,37,3,pomdp
55,117,0,117,5100.673908768755,187.1954746776236,37,3,pomdp
56,117,0,117,5175.032883127729,186.96775426068453,37,3,pomdp
57,117,0,117,5250.246558341405,189.86257655930703,37,3,pomdp
58,117,0,117,5322.896130990977,189.3898314132664,37,3,pomdp
59,117,0,117,5392.981601076447,192.24121348264356,37,3,pomdp
60,117,0,117,5464.776472871319,192.0613507302904,37,2,pomdp
61,117,0,117,5535.71664381149,191.90457436153565,35,4,pomdp
62,117,0,117,5606.656814751661,191.6513623058906,34,5,pomdp
63,117,0,117,5678.451686546533,194.5835614018651,34,5,pomdp
64,117,0,117,5750.246558341405,194.319555852748,34,5,pomdp
65,117,0,117,5825.46023355508,194.03003780070466,34,5,pomdp
66,117,0,117,5898.964507059353,193.82579795758255,34,5,pomdp
67,117,0,117,5971.614079708927,196.73821099268002,32,7,pomdp
68,117,0,117,6041.699549794397,195.19503818260785,32,6,pomdp
69,117,0,117,6113.494421589269,193.31857347293644,32,5,pomdp
70,117,0,117,6184.43459252944,193.0798757018186,32,4,pomdp
71,117,0,117,6254.52006261491,192.78530714672695,32,3,pomdp
72,117,0,117,6327.169635264482,192.60197857316322,32,2,pomdp
73,117,0,117,6398.964507059354,192.39549603983386,31,3,pomdp
74,117,0,117,6470.759378854226,192.188681241945,30,4,pomdp
75,117,0,117,6544.2636523585,192.00633765849707,30,4,pomdp
76,117,0,117,6617.767925862773,194.5480608817579,30,4,pomdp
77,117,0,117,6690.417498512345,194.25311161948085,29,5,pomdp
78,117,0,117,6757.084165179012,194.0864940259489,29,4,pomdp
79,117,0,117,6820.332028426876,193.75657729234842,29,4,pomdp
80,117,0,117,6890.417498512345,193.52173006422169,29,3,pomdp
81,117,0,117,6952.8106609055085,193.19529669287894,29,2,pomdp
82,117,0,117,7016.913225008072,192.93564127156213,29,2,pomdp
83,117,0,117,7082.725190820038,192.41258114607786,28,3,pomdp
84,117,0,117,7148.537156632004,192.54222403765715,28,3,pomdp
85,117,0,117,7210.930319025167,192.19362257648106,28,3,pomdp
86,117,0,117,7271.614079708927,191.89887929354555,27,4,pomdp
87,117,0,117,7333.152541247388,191.52824822572032,26,5,pomdp
88,117,0,117,7388.708096802944,192.89182323608563,26,4,pomdp
89,117,0,117,7446.827754922601,193.9968698949322,26,4,pomdp
90,117,0,117,7506.656814751661,193.66486159283338,24,6,pomdp
91,117,0,117,7565.63117372602,193.45616189879078,24,6,pomdp
92,117,0,117,7618.622626717473,193.10972069564158,24,6,pomdp
93,117,0,117,7674.178182273028,192.78730230347605,24,6,pomdp
94,117,0,117,7727.169635264481,192.57603442720185,23,4,pomdp
95,117,0,117,7777.596985691832,192.25750770071392,23,3,pomdp
96,117,0,117,7825.46023355508,191.95261746822612,23,3,pomdp
97,117,0,117,7874.178182273028,191.78072641384023,22,4,pomdp
98,117,0,117,7920.332028426875,191.51488439276636,22,3,pomdp
99,117,0,117,7967.340575435422,194.339027887667,22,3,pomdp
100,117,0,117,8009.2209173157635,194.09618027656578,22,3,pomdp
101,117,0,117,8050.246558341405,193.86445525664783,22,3,pomdp
102,117,0,117,8087.853395948242,193.64616649015943,22,3,pomdp
103,117,0,117,8124.605532700379,193.40480518005592,22,2,pomdp
104,117,0,117,8162.212370307217,193.2313622068362,22,2,pomdp
105,117,0,117,8200.673908768755,192.965980066265,22,2,pomdp
106,117,0,117,8236.57134466619,192.7226491735823,21,3,pomdp
107,117,0,117,8269.049977144823,192.57591263347445,21,3,pomdp
108,117,0,117,8302.383310478157,192.27572240712678,21,3,pomdp
109,117,0,117,8340.844848939696,192.12197785291735,21,3,pomdp
110,117,0,117,8376.742284837132,191.90517847564885,21,3,pomdp
111,117,0,117,8408.366216461063,191.74015048525825,21,2,pomdp
112,117,0,117,8439.135447230294,191.56127456631953,21,2,pomdp
113,117,0,117,8466.485874580721,191.62282704113244,20,3,pomdp
114,117,0,117,8493.836301931147,191.45394691173627,20,3,pomdp
115,117,0,117,8520.332028426874,191.2573347044926,20,3,pomdp
116,117,0,117,8543.408951503798,191.31567118193848,20,3,pomdp
117,117,0,117,8565.63117372602,190.96987651737038,19,4,pomdp
118,117,0,117,8587.853395948241,190.8268669054291,18,4,pomdp
119,117,0,117,8610.075618170464,190.6906318257214,18,4,pomdp
