callsign,steps_in_tfr,tfr_entries,min_tfr_dist_nm,avg_tfr_dist_nm,tfr_warnings
AAL1014,0,0,5.561,64.685,38
AAL1026,0,0,2.092,53.003,61
AAL1028,0,0,766.632,783.133,0
AAL1341,0,0,1.897,48.865,37
AAL1347,0,0,10.122,158.901,0
AAL1465,0,0,9.409,81.461,7
AAL1511,477,5,-53.903,197.0,276
AAL1613,182,0,-58.908,203.094,26
AAL165,125,0,-62.568,422.942,75
AAL1821,0,0,1.367,68.213,28
AAL1856,120,1,-48.762,31.442,187
AAL2171,123,1,-52.031,31.424,200
AAL217R,0,0,4.709,262.364,29
AAL2217,1262,11,-70.205,490.297,302
AAL2230,46,0,-40.843,661.333,5
AAL2541,1053,13,-71.1,240.376,63
AAL2733,677,7,-62.794,259.476,41
AAL3149,0,0,2.225,167.05,38
AAL324,0,0,9.802,144.494,1
AAL368,177,0,-55.734,486.291,11
AAL510,0,0,5.139,237.475,17
AAL714,175,1,-55.427,386.112,135
AAL9601,0,0,167.077,284.377,0
AAL967,164,0,-55.196,399.781,12
AAL972,0,0,2.047,70.296,47
AAL987,0,0,6.278,73.049,34
AJT8313,174,0,-58.644,368.32,33
AJT8541,310,2,-45.616,271.44,236
AJT862,0,0,1.473,57.438,55
CMP100,0,0,1744.307,1765.909,0
CMP298,0,0,566.924,567.152,0
CMP334,150,0,-58.572,4.834,131
CMP349,0,0,759.187,767.675,0
ENY3689,1370,14,-80.407,282.225,76
ENY3814,0,0,6.886,104.443,13
ENY3954,377,11,-41.164,242.954,207
ENY4071,90,0,-51.572,488.118,4
FFT1418,0,0,104.178,184.95,0
FFT161,0,0,204.347,346.307,0
FFT1737,0,0,93.869,410.553,0
FFT2284,238,1,-62.998,287.435,16
FFT3378,67,0,-61.057,597.66,108
FFT3470,0,0,125.319,156.974,0
FFT4426,0,0,91.832,147.594,0
FFT4879,0,0,158.54,192.185,0
GXA401,0,0,5.004,95.905,22
N453QS,211,0,-54.082,533.899,50
NAC802,245,0,-54.479,615.159,34
NAC810,164,0,-50.669,555.265,141
NAC811,0,0,7.25,48.182,17
NKS1155,0,0,657.25,657.302,0
NKS1171,1046,12,-58.175,249.374,58
NKS1210,0,0,8.124,140.283,5
NKS1336,0,0,212.011,260.725,0
NKS1498,0,0,10.003,80.387,0
NKS1562,0,0,93.3,392.503,0
NKS1564,113,0,-59.56,633.266,5
NKS1576,0,0,94.464,360.693,0
NKS1708,0,0,10.061,523.776,0
NKS1846,106,0,-54.44,649.702,5
NKS1847,0,0,6.369,139.896,16
NKS1904,0,0,9.107,104.951,4
NKS2012,246,3,-54.804,418.233,24
NKS210,1183,14,-42.68,277.527,71
NKS257,865,10,-61.809,366.648,59
NKS271,929,11,-61.925,271.78,89
NKS272,0,0,10.02,329.2,0
NKS2801,0,0,10.124,247.575,0
NKS3010,0,0,10.31,300.197,0
NKS352,232,3,-35.164,358.922,68
NKS687,0,0,10.449,158.97,0
NKS693,38,0,-23.259,657.318,11
NKS797,0,0,10.342,92.121,0
NKS939,1056,11,-101.35,254.41,58
NKS956,1325,14,-73.789,280.352,73
PXG210,0,0,10.0,262.182,0
SHH3006,467,3,-55.177,287.267,243
SHH906,197,0,-68.265,519.096,12
SWA4490,0,0,119.165,175.069,0
SWA575,0,0,117.675,647.475,0
TXG403,171,0,-55.442,398.57,12
UAL1019,0,0,211.501,598.984,0
UAL1020,0,0,604.842,611.929,0
UAL1056,0,0,208.581,619.77,0
UAL1058,0,0,209.112,552.901,0
UAL1059,0,0,206.081,517.968,0
UAL1114,0,0,638.676,647.866,0
UAL1167,0,0,201.494,227.583,0
UAL1457,0,0,10.012,118.061,0
UAL1563,1092,12,-74.84,269.389,65
UAL1630,0,0,105.404,629.543,0
UAL1692,0,0,101.559,462.636,0
UAL1739,0,0,101.713,389.747,0
UAL1795,137,0,-56.272,600.419,4
UAL1809,0,0,8.506,81.549,3
UAL1848,0,0,10.025,218.232,0
UAL1927,132,0,-57.134,617.101,4
UAL1956,118,0,-38.119,642.884,4
UAL2105,0,0,10.209,64.486,0
UAL2162,1025,11,-56.876,286.756,65
UAL2215,87,0,-46.518,485.066,16
UAL2245,0,0,128.81,328.492,0
UAL2247,0,0,119.996,482.077,0
UAL2261,219,3,-45.977,352.048,28
UAL2311,149,0,-57.147,667.051,3
UAL2620,0,0,548.363,600.595,0
UAL2657,0,0,8.622,105.129,6
UAL2662,0,0,122.416,181.885,0
UAL413,0,0,100.084,170.157,0
UAL496,0,0,105.446,154.238,0
UAL496T,0,0,100.272,347.574,0
UAL584,0,0,117.863,355.864,0
UAL723,0,0,10.061,278.063,0
UAL759,0,0,10.245,230.322,0
UAL774,0,0,98.441,479.293,0
UPS6335,0,0,0.886,60.003,22
VIV560,0,0,677.56,718.438,0
XLS500,0,0,206.699,537.507,0
