tier,callsign,seed
tier_50,NKS3010,42
tier_50,UAL723,42
tier_50,UAL1020,42
tier_50,NKS1155,42
tier_50,FFT3378,42
tier_50,AAL2733,42
tier_50,UAL1058,42
tier_50,UAL1457,42
tier_50,UAL1848,42
tier_50,NKS2012,42
tier_50,CMP298,42
tier_50,NKS939,42
tier_50,AAL1821,42
tier_50,UAL2657,42
tier_50,NAC802,42
tier_50,SHH3006,42
tier_50,UAL2662,42
tier_50,UAL1739,42
tier_50,AJT8313,42
tier_50,FFT1418,42
tier_50,AAL1026,42
tier_50,CMP349,42
tier_50,AAL714,42
tier_50,AAL1613,42
tier_50,ENY3814,42
tier_50,TXG403,42
tier_50,XLS500,42
tier_50,AAL165,42
tier_50,NKS1847,42
tier_50,NKS1210,42
tier_50,N453QS,42
tier_50,NKS271,42
tier_50,FFT161,42
tier_50,NKS1171,42
tier_50,NAC811,42
tier_50,NKS956,42
tier_50,AAL9601,42
tier_50,NKS272,42
tier_50,NKS210,42
tier_50,UAL1059,42
tier_50,NKS1846,42
tier_50,UAL1956,42
tier_50,UAL496T,42
tier_50,AAL972,42
tier_50,AAL1511,42
tier_50,UAL1927,42
tier_50,NKS2801,42
tier_50,NKS1904,42
tier_50,VIV560,42
tier_50,FFT3470,42
tier_75,NKS3010,42
tier_75,UAL723,42
tier_75,UAL1020,42
tier_75,NKS1155,42
tier_75,FFT3378,42
tier_75,AAL2733,42
tier_75,UAL1058,42
tier_75,UAL1457,42
tier_75,UAL1848,42
tier_75,NKS2012,42
tier_75,CMP298,42
tier_75,NKS939,42
tier_75,AAL1821,42
tier_75,UAL2657,42
tier_75,NAC802,42
tier_75,SHH3006,42
tier_75,UAL2662,42
tier_75,UAL1739,42
tier_75,AJT8313,42
tier_75,FFT1418,42
tier_75,AAL1026,42
tier_75,CMP349,42
tier_75,AAL714,42
tier_75,AAL1613,42
tier_75,ENY3814,42
tier_75,TXG403,42
tier_75,XLS500,42
tier_75,AAL165,42
tier_75,NKS1847,42
tier_75,NKS1210,42
tier_75,N453QS,42
tier_75,NKS271,42
tier_75,FFT161,42
tier_75,NKS1171,42
tier_75,NAC811,42
tier_75,NKS956,42
tier_75,AAL9601,42
tier_75,NKS272,42
tier_75,NKS210,42
tier_75,UAL1059,42
tier_75,NKS1846,42
tier_75,UAL1956,42
tier_75,UAL496T,42
tier_75,AAL972,42
tier_75,AAL1511,42
tier_75,UAL1927,42
tier_75,NKS2801,42
tier_75,NKS1904,42
tier_75,VIV560,42
tier_75,FFT3470,42
tier_75,AAL1028,42
tier_75,UAL2245,42
tier_75,NKS687,42
tier_75,UAL1795,42
tier_75,ENY4071,42
tier_75,AAL967,42
tier_75,NKS1562,42
tier_75,NKS1564,42
tier_75,FFT1737,42
tier_75,FFT2284,42
tier_75,UAL1167,42
tier_75,AAL324,42
tier_75,SWA4490,42
tier_75,AAL1856,42
tier_75,NKS797,42
tier_75,AAL2541,42
tier_75,NKS1708,42
tier_75,AAL1465,42
tier_75,ENY3689,42
tier_75,FFT4879,42
tier_75,GXA401,42
tier_75,AAL217R,42
tier_75,NAC810,42
tier_75,UAL2162,42
tier_75,UAL413,42
tier_90,NKS3010,42
tier_90,UAL723,42
tier_90,UAL1020,42
tier_90,NKS1155,42
tier_90,FFT3378,42
tier_90,AAL2733,42
tier_90,UAL1058,42
tier_90,UAL1457,42
tier_90,UAL1848,42
tier_90,NKS2012,42
tier_90,CMP298,42
tier_90,NKS939,42
tier_90,AAL1821,42
tier_90,UAL2657,42
tier_90,NAC802,42
tier_90,SHH3006,42
tier_90,UAL2662,42
tier_90,UAL1739,42
tier_90,AJT8313,42
tier_90,FFT1418,42
tier_90,AAL1026,42
tier_90,CMP349,42
tier_90,AAL714,42
tier_90,AAL1613,42
tier_90,ENY3814,42
tier_90,TXG403,42
tier_90,XLS500,42
tier_90,AAL165,42
tier_90,NKS1847,42
tier_90,NKS1210,42
tier_90,N453QS,42
tier_90,NKS271,42
tier_90,FFT161,42
tier_90,NKS1171,42
tier_90,NAC811,42
tier_90,NKS956,42
tier_90,AAL9601,42
tier_90,NKS272,42
tier_90,NKS210,42
tier_90,UAL1059,42
tier_90,NKS1846,42
tier_90,UAL1956,42
tier_90,UAL496T,42
tier_90,AAL972,42
tier_90,AAL1511,42
tier_90,UAL1927,42
tier_90,NKS2801,42
tier_90,NKS1904,42
tier_90,VIV560,42
tier_90,FFT3470,42
tier_90,AAL1028,42
tier_90,UAL2245,42
tier_90,NKS687,42
tier_90,UAL1795,42
tier_90,ENY4071,42
tier_90,AAL967,42
tier_90,NKS1562,42
tier_90,NKS1564,42
tier_90,FFT1737,42
tier_90,FFT2284,42
tier_90,UAL1167,42
tier_90,AAL324,42
tier_90,SWA4490,42
tier_90,AAL1856,42
tier_90,NKS797,42
tier_90,AAL2541,42
tier_90,NKS1708,42
tier_90,AAL1465,42
tier_90,ENY3689,42
tier_90,FFT4879,42
tier_90,GXA401,42
tier_90,AAL217R,42
tier_90,NAC810,42
tier_90,UAL2162,42
tier_90,UAL413,42
tier_90,SWA575,42
tier_90,UAL2105,42
tier_90,AAL368,42
tier_90,UAL1630,42
tier_90,FFT4426,42
tier_90,UAL2247,42
tier_90,AAL510,42
tier_90,AAL1014,42
tier_90,UAL759,42
tier_90,UAL2261,42
tier_90,NKS1576,42
tier_90,UAL584,42
tier_90,NKS1336,42
tier_90,UAL2620,42
tier_90,UAL1563,42
tier_all,NKS3010,42
tier_all,UAL723,42
tier_all,UAL1020,42
tier_all,NKS1155,42
tier_all,FFT3378,42
tier_all,AAL2733,42
tier_all,UAL1058,42
tier_all,UAL1457,42
tier_all,UAL1848,42
tier_all,NKS2012,42
tier_all,CMP298,42
tier_all,NKS939,42
tier_all,AAL1821,42
tier_all,UAL2657,42
tier_all,NAC802,42
tier_all,SHH3006,42
tier_all,UAL2662,42
tier_all,UAL1739,42
tier_all,AJT8313,42
tier_all,FFT1418,42
tier_all,AAL1026,42
tier_all,CMP349,42
tier_all,AAL714,42
tier_all,AAL1613,42
tier_all,ENY3814,42
tier_all,TXG403,42
tier_all,XLS500,42
tier_all,AAL165,42
tier_all,NKS1847,42
tier_all,NKS1210,42
tier_all,N453QS,42
tier_all,NKS271,42
tier_all,FFT161,42
tier_all,NKS1171,42
tier_all,NAC811,42
tier_all,NKS956,42
tier_all,AAL9601,42
tier_all,NKS272,42
tier_all,NKS210,42
tier_all,UAL1059,42
tier_all,NKS1846,42
tier_all,UAL1956,42
tier_all,UAL496T,42
tier_all,AAL972,42
tier_all,AAL1511,42
tier_all,UAL1927,42
tier_all,NKS2801,42
tier_all,NKS1904,42
tier_all,VIV560,42
tier_all,FFT3470,42
tier_all,AAL1028,42
tier_all,UAL2245,42
tier_all,NKS687,42
tier_all,UAL1795,42
tier_all,ENY4071,42
tier_all,AAL967,42
tier_all,NKS1562,42
tier_all,NKS1564,42
tier_all,FFT1737,42
tier_all,FFT2284,42
tier_all,UAL1167,42
tier_all,AAL324,42
tier_all,SWA4490,42
tier_all,AAL1856,42
tier_all,NKS797,42
tier_all,AAL2541,42
tier_all,NKS1708,42
tier_all,AAL1465,42
tier_all,ENY3689,42
tier_all,FFT4879,42
tier_all,GXA401,42
tier_all,AAL217R,42
tier_all,NAC810,42
tier_all,UAL2162,42
tier_all,UAL413,42
tier_all,SWA575,42
tier_all,UAL2105,42
tier_all,AAL368,42
tier_all,UAL1630,42
tier_all,FFT4426,42
tier_all,UAL2247,42
tier_all,AAL510,42
tier_all,AAL1014,42
tier_all,UAL759,42
tier_all,UAL2261,42
tier_all,NKS1576,42
tier_all,UAL584,42
tier_all,NKS1336,42
tier_all,UAL2620,42
tier_all,UAL1563,42
tier_all,UAL1056,42
tier_all,UAL1692,42
tier_all,AAL987,42
tier_all,NKS693,42
tier_all,UAL2215,42
tier_all,SHH906,42
tier_all,NKS257,42
tier_all,CMP100,42
tier_all,AJT8541,42
tier_all,UAL2311,42
tier_all,UPS6335,42
tier_all,AAL1347,42
tier_all,NKS1498,42
tier_all,PXG210,42
tier_all,AAL2171,42
tier_all,NKS352,42
tier_all,UAL496,42
tier_all,UAL1114,42
tier_all,AAL2217,42
tier_all,UAL774,42
tier_all,AAL3149,42
tier_all,AJT862,42
tier_all,CMP334,42
tier_all,ENY3954,42
tier_all,UAL1809,42
tier_all,AAL1341,42
tier_all,AAL2230,42
tier_all,UAL1019,42
